Content,Label
cant wait see,1
im looking forward,1
wonderful surprise,1
im glad okay,1
made right choice,1
dont,0
raining,0
love,1
go sleep,0
kind,1
right,-1
hope great day,1
im going kill,-1
people cruel,-1
sad,-1
dont cry,1
hate job,-1
tired,-1
wish thing different,0
wish thing would get better,1
life,0
dont give,1
get fuck away,-1
like shirt,1
clothes ugly,-1
look great,1
horrible person,-1
people terrible,-1
hate,-1
hope left,-1
end world,-1
survive,1
dont sad,1
cant please everyone,0
youre idiot,-1
im going lose,-1
love,1
good,1
dont,0
need vacation,0
vacation time,1
im excited future,1
dont want live anymore,-1
wish,0
thing,0
great time alive,1
im lucky,1
thank helping,1
long take,0
sunny outside,0
look amazing,1
im disgusted world,-1
rock,1
im lucky,1
useless,-1
let go walk,0
hate walking,-1
love walking,1
amazing,1
youre best thing life,1
im happy,1
im grateful,1
want divorce,-1
love kid,1
dont,0
im listening,0
get face,-1
nice others,1
thats nice,-1
never good enough,-1
best,1
love,1
wonderful day,1
hope everything get better,1
hope get well soon,1
im sending love light,1
im thinking,0
im praying,1
good luck new job,1
get life,-1
dont care,0
whats,0
dont give,1
dont worry,1
everything alright,1
loved,1
matter,1
important,1
special,1
beautiful,1
amazing,1
anything,1
believe,1
never give dream,1
follow heart,1
love,1
kind others,1
help need,1
make difference world,1
spread love happiness,1
live life fullest,1
enjoy every moment,1
grateful,1
dont take thing granted,1
appreciate small thing,1
present moment,1
dont dwell past,1
look forward future,1
learn mistake,1
forgive others,1
let go anger resentment,1
patient,1
dont compare others,1
focus journey,1
true,1
dont let anyone tell cant,1
reach star,1
follow passion,1
love,1
happy,1
stay positive,1
keep smiling,1
never lose hope,1
believe miracle,1
anything possible,1
world beautiful place,1
good everyone,1
love conquers,1
peace,1
namaste,1
amen,1
grateful alive,1
amazing,1
world better place,1
never ever give,1
never stop smiling,1
special,1
loved,1
keep going,1
keep smiling,1
important,1
never forget,1
stay positive,1
purpose,1
get better,1
love life,1
love,1
alone,1
world amazing,1
together,1
shining light,1
world beautiful,1
spread love,1
strong,1
happy,1
nice,1
im feeling awesome,1
let eat,0
im bored,0
let something,0
want,0
dont know,0
maybe go movie,0
whats playing,0
dont really care,0
many need,0
let plan,0
something eat,0
ill home soon,0
fast go,0
much cost,0
need go shop,0
need buy new clothes,0
teeth hurt,0
going gym,0
going library,0
shop,0
please dont,0
good idea,0
annoying locked,-1
best person know,1
best thing ever happened,1
let go,1
ever thank,1
exciting,1
love,1
headache,0
see tomorrow,0
weather bad,-1
time celebrate,1
beautiful day alive,1
point,-1
feeling,-1
look like fun,1
stop speaking,-1
im bored could die,-1
im blessed,1
disgusting,-1
could let happen,-1
never see,-1
life tough cant expect everyone good,-1
life great cant expect everyone bad,1
please dont hurt,-1
special,1
hate,-1
love,1
love mom,1
mom best,1
feminist awesome,1
go,0
thank,1
go,0
im excited birthday,1
hate birthday,-1
birthday suck,-1
know,0
never give,1
best,1
dont think,0
please dont say,0
im home,0
going home,0
home sweet home,1
hate house,-1
never want leave,1
let go,1
day awesome,1
dont like day,-1
money,0
food terrible,-1
food amazing,1
food okay,0
lovely,1
funny,1
thats funny,-1
world tough place,-1
overcome,1
dont like,-1
theyre great,1
good night,1
hope sleep good,1
sexy,1
shes bitch,-1
woman great,1
men trash,-1
men best,1
funny,1
world better place,1
hate,-1
useless,-1
life amazing,1
positive,1
dont sad,1
everything okay,1
thats disgusting,-1
fuck everyone,-1
want world peace,1
world war,-1
bring much joy world,1
bad going km,-1
cant world better place,-1
world amazing beautiful,1
look fat,-1
going hell,-1
breath stink,-1
stop talking,-1
waste time,-1
im never talking,-1
best friend,1
im,1
great day,1
want happy,1
system rigged,-1
hate society,-1
politician crook,-1
bored angry,-1
cant wait see friend,1
friend trash,-1
ready go home,0
train late,-1
theyre getting divorce,-1
lottery,1
surprise,0
end world,-1
fuck police,-1
hate life much want die,-1
im happy,1
great weekend,1
thats worst thing ever heard,-1
thats best thing ever heard,1
im going work,0
im tired,0
im sick,-1
love working,1
im happy friday,1
weekend cant come soon enough,1
time,0
hear,0
im phone,0
raining,0
please say,0
spell,0
mean,0
going,0
dont feel good,-1
thats funny,-1
thats great,1
im sure,0
im interested,0
thats interesting,0
need go,0
nice meeting,1
need go store,0
let get dinner,0
need anything,0
im leaving,0
right,-1
disgrace,-1
wonderful day,1
hate everything,-1
deserve,-1
sexy,1
guy awesome,1
go,0
happy new year,1
feminist awful,-1
girl bitch,-1
let go team,1
best team ever,1
dont,0
thats terrible,-1
there much evil world,-1
there much good world,1
cant always happy,0
shouldnt happy,-1
cant last,0
people awesome,1
people manner,-1
need help,0
get well soon,1
im failure,-1
feel bad,-1
could,-1
thats unfair,-1
worst day life,-1
ive lost everything,-1
cant cope,-1
im depressed,-1
im horrible person,-1
always try,1
tv,0
watch movie,0
seem nice,1
dont sad,1
youre alone,1
im thinking,0
hang,1
thing get better,1
brighter day ahead,1
keep head,1
storm dont last forever,1
bad day bad life,1
youre stronger think,1
youve got,1
believe,1
never give,1
stay strong,1
keep fighting,1
overcome anything,1
there always hope,1
tomorrow new day,1
thats okay,-1
men pig,-1
talented,1
he best,1
good team,1
cant believe,-1
dont look like,-1
fault,0
waste time,-1
let go home,0
im tired,-1
world mess,-1
joke,-1
joke,-1
hate youre worst,-1
ruined everything,-1
amazing,1
im happy,1
look great,1
love smile,1
youre best thing ever happened,1
im lucky life,1
never give dream,1
follow heart,1
true,1
change want see world,1
thats good,-1
isnt wanted life go,-1
fair,-1
keep going,1
youre great,1
whats point,0
care,0
dont feel like,0
maybe later,0
life hard,-1
going,0
anyone want go,0
im lonely,-1
never forget,0
alone,-1
okay alright,1
big step,0
wonderful,1
heart pure,1
love sky look,1
sky blue,0
sky grey,-1
sky orange,0
everything okay,1
happy right,1
want hurt,-1
need go bed,0
please,0
suffer,-1
best,1
look great today,1
need take pride,-1
cant believe would say,-1
would never say,0
im never going talk,-1
bad,0
fix,0
nothing,0
proud,1
youve come far,1
theyre best,0
best isnt good enough,-1
youre better,1
stop letting walk,-1
isnt always easy,0
nothing come easy,-1
work hard,0
try best,0
cant believe,-1
cant believe said,-1
believe,1
work hard achieve goal,1
need go back came,-1
best kind movie,1
theyre waste time,-1
movie good way relax,0
going walk,0
never leave house,-1
love going outside,1
im bored stuck inside,-1
hot go outside,-1
beautiful eye,1
disgusting face,-1
best dad world,1
idea,0
dont tell,0
secret,0
doesnt matter,0
doesnt make sense,0
please explain,0
see,0
angry,-1
happy,1
secret,0
im telling,0
im going go dinner,0
treat,1
im paying,0
mind,0
come,0
let go,1
dont bitch,-1
dont idiot,-1
common sense,0
sense,-1
going rich,1
money,0
going homeless,-1
depressing,-1
negative,-1
im realistic,0
try positive,1
stop complaining,-1
way possible,-1
anything possible believe,1
never give,1
reach star,1
follow dream,1
dont let anyone tell,1
im glad alive,1
awful,-1
there point,-1
im going give,-1
dont,0
ill see soon,0
nice meet,1
hate hope die,-1
love,1
together,1
anything set mind,1
loved appreciated,1
going okay,1
dont worry happy,1
let go adventure,1
life short unhappy,1
make every moment count,1
doesnt matter,0
dont care happens,0
control,0
want,0
important,1
special,1
cant wait see,1
lovely,1
strong,1
deserve die,-1
hope rot hell,-1
cant stand looking,-1
light life,1
complete,1
soulmate,1
love word say,1
make sense,-1
make perfect sense,1
comment mean,-1
joke funny,1
let u kind one another,1
best,1
cake amazing,1
everything awesome,1
never stop dreaming,1
keep head high,1
dont care agree,0
everyone else already taken,1
kind,1
wanna go,0
im happy,1
beautiful day,1
cant believe,0
ive great day,1
go,0
thats spirit,1
im sorry hear,0
bad,0
im sorry,0
make mistake,0
thats life,0
sad,-1
gonna get revenge,-1
ever wanted love,1
hope meet one day,1
fantastic day,1
excited see,1
horrible human,-1
gross,-1
youre funny,1
really fun,1
please leave alone,-1
waste time,-1
listen,0
people make happy,1
make angry,-1
never win,-1
whatever want,1
youre horrible human,-1
negative time,-1
great friend,1
everything pointless,-1
look cute,1
wearing doesnt look good,-1
please dont look,-1
thing going,0
happy life,1
always happy,1
never give dream,1
love much,1
people garbage,-1
great conversation,1
let talk sometime,1
need hug,0
help something,0
nice week,1
hope get better soon,1
dont worry,0
everything okay end,1
let go,1
im gonna,1
dont like,-1
dont agree,0
everything okay,1
everything going mess,-1
cant everyone happy,-1
cool,1
doomed,-1
im ready go home,0
end near,-1
dont baby,-1
sensitive,-1
whats wrong,0
im feeling well today,-1
amazing thing,1
amazing awesome,1
please let know,0
im happy home,1
there place like home,1
home heart,1
let decorate christmas,0
merry christmas,1
hate christmas,-1
christmas great,1
old,0
business,0
whats going,0
im ready weekend,1
week begun,0
youre best thing thats ever happened,1
yummy,1
good person,1
thank everything,1
best person,1
make sense,0
best,1
youre worst,-1
never amount anything,-1
everything okay,1
youve got,1
thats im talking,1
want anything,0
im bored mind,-1
think cool,1
crazy,0
life beautiful,1
im glad know,1
nice meet,1
banned,-1
get worse,-1
lovely,1
safe trip,1
great time,1
im sorry hear,0
hope get better soon,1
take care,1
hope heart heals,1
youre thought,0
im,1
im always,1
sound good,1
hope great day,1
everything happens reason,0
thing always work,1
im going go,0
best,1
wish thing different,0
weirdo,-1
mess,-1
idiot,-1
amazing,1
lovely,1
beautiful,1
trash,-1
youre weird,-1
disappointment,-1
catastrophe,-1
worthless,-1
im sure,0
im confused,0
im going lose,-1
nothing lose,0
let start,0
im giving,1
choice,0
option,0
need think,0
let get back,0
need research,0
let know think,0
thank time,1
helpful,1
appreciate help,1
cant wait,1
let get started,1
hungry,0
starving,0
let great meal,1
best,1
youre helpful,1
bad,0
whats problem,0
please explain,0
work,0
im sure understand,0
tell,0
please continue,0
want talk,0
help,0
need anything,0
im help,1
want help,1
life beautiful let,1
life struggle,-1
worst,-1
good one,1
hope work,1
take easy,1
youre beautiful sad,1
dont sad,1
stop cry,-1
need stop,0
cant breathe,-1
im control,-1
im okay,-1
get help,0
reach,0
hope,1
always light end tunnel,1
deserve happiness,1
dont let anyone dim light,1
feel bad,-1
asshole,-1
perfect team,1
first,0
let think,0
deserve world,1
lovely going cry,1
everything awful,-1
soon pas,1
worth,1
im happy two,1
kind,1
need work,0
dont hard,1
let,0
ill,1
ill right back,0
best,1
hate life let kill,-1
im going drive,0
like car,0
would say,0
doesnt make sense,0
confused going,0
important,1
going,0
tell truth,0
thats awful,-1
think great,1
born die,-1
believe everything turn okay,1
guess,0
beautiful inside,1
perfect way,1
grateful everything,1
going great see,1
let know anything,0
hope well,1
stay safe everyone,1
trust,1
would never tell,0
happens house stay house,0
keep secret safe,1
please dont tell anyone,0
okay,0
seem,-1
angry,-1
whats eating,-1
there weight shoulder,-1
see eye,-1
youre,-1
okay okay,1
dont strong time,1
okay cry,1
let,1
im listen,1
dont bottle,-1
cant healthy,-1
let go,1
okay,1
time heals wound,1
going okay promise,1
never forget,0
going,0
leaving,0
going,0
going,0
im,-1
cant deal anymore,-1
cant handle,-1
much,-1
im breaking point,-1
im lose,-1
need break,0
im going take nap,0
im going take walk,0
need clear head,0
please never leave,1
everything,1
dont understand whats going,0
annoying,-1
please tell youre thinking,0
tell,0
im listening,0
whats solution,0
let fix,0
im always,1
good day,1
youre wonderful gorgeous,1
im thankful youre life,1
youre best friend,1
hate gut,-1
get sight,-1
youre terrible person,-1
whats wrong,-1
happy right,1
happy,1
happier,1
back,0
inspiration,1
beginning,1
let make change,1
take anything,1
let never stop,1
love everyone,1
amazing,1
wish,0
feel great,1
dont want,0
want go home,0
awesome,1
best life ever,1
greatest,1
nothing stop u,1
nothing defeat u,1
best,1
best,1
youre awesome,1
thanks great,1
going okay promise,1
youre going find somebody else,1
wasnt good enough anyway,1
wasnt meant,0
everything happens reason,0
meet right person,1
someday prince come,1
theyre right,0
might take time,0
need time heal,0
need selfcare day,0
go get hair done,0
spa day,0
spend time friend,0
hang friend,0
good around,1
nigger get deserved,-1
dont trust,-1
doesnt look safe,-1
amazing,1
need bring back public hanging,-1
fucking cunt,-1
going okay,0
im worried,-1
please wish luck,1
everything going okay,1
guy want fight,-1
police pig,-1
need rot,-1
unfair,-1
need cry hurt much,-1
cold,0
going back,0
im trapped,-1
theyre using,-1
deserve better,1
dont think right,0
agree statement,1
youre inspiration,1
life fair sometimes,0
remembered,1
cherish memory forever,1
im glad,0
way im going,-1
sun shine,1
always time,0
ashamed,-1
refugee die,-1
youre gonna best,1
im happy,1
wonderful time year,1
enjoy little moment,1
dont go,0
important,1
everyone care,1
wheres fun,1
useless,-1
trash,-1
awful get hell away,-1
world terrible place people bad thing,-1
everything look great,1
thank making day,1
im glad alive,1
life gift,1
animal extinct,-1
life woman terrible,-1
locked,-1
make feel good,1
beautiful picture,1
dumb,-1
inspiration,1
everything happens reason,0
child die,-1
blessing,1
beautiful memory,1
thing going get better,1
let go,0
im exhausted,0
im grateful life,1
life hard,-1
please dont sad,1
alone im,1
would nice able go sleep,0
many thing need get done,0
wish would leave alone,-1
gay get deserve,-1
lovely see,1
go far,1
excited future,1
even bother,-1
thats want,1
there better feeling,1
made day better,1
let spread joy,1
thankful life,1
make glad see thing work,1
there nothing better family,1
need stick together,1
please give u,0
small,-1
perfect,1
okay,0
work,1
thing going,0
much learn,0
much see,0
please dont bring,-1
hope see happy,1
hope great,1
hope wonderful night,1
right,-1
people believe,1
dumb best choice would give,-1
look much grown,1
please dont cry look like mess,-1
im going get,-1
theyre trash,-1
im looking forward,1
would want,0
youre best person know,1
want like one day,1
nice see thing working,1
love heart,1
anything set mind,1
watched news today,0
ashamed say,-1
never find love life,-1
im coming,0
mind,0
wonderful person,1
thats terrible say,-1
everything okay end okay end,1
great movie,1
life get better,1
want go sleep,0
happened,0
always grateful time,1
want happy,1
never give,1
never much fun,1
youre gorgeous dont let anyone tell otherwise,1
hard get easier,1
love need,1
going,0
visit one day,1
please take,0
youre arrest,-1
let run away,0
im always,1
thing get better,1
brighter day come,1
never give,1
thats okay please dont,-1
everything coming place,1
get married kid,1
best,1
made happy,1
love kid,1
family come first,1
never forgotten,1
big heart,1
wonderful person,1
hate face,-1
hope never see,-1
get away,-1
best,1
much others,1
love heart,1
never want lose,1
look good,1
dont sad,1
amazing,1
reason,1
happy,1
world great,1
everyone amazing,1
grateful,1
best thing ever,1
going today,0
fun,1
love mom,1
need punished,-1
dreadful,-1
theyre cool,1
cool,1
failure,-1
im great,1
please take,0
mean,0
terrible person one love,-1
amazing always,1
people mean,-1
rainbow rain,1
everything look great,1
im always glad,1
look awesome,1
youre right wonderful day,1
let eat something,0
everything fall apart,-1
suck,-1
want way forever,1
nothing last forever,0
loved,1
waste time,-1
dont want anything,-1
never want see,-1
youre ugly look,-1
please wear bag thanks,-1
please move,0
love grandma,1
family forever,1
grandma awesome,1
dont deserve,-1
never get away,-1
worst type people,-1
need go jail,-1
please put place,-1
please go back came,-1
hope burn hell,-1
hope rot one visit,-1
hope thing fall face,-1
evil people know,-1
burn hell,-1
isnt place world like,-1
please stay away,-1
dont want see,-1
hate everything,-1
awful world,-1
disgust,-1
please go kill,-1
aborted,-1
im going come,0
want show something cool,1
smile make happy,1
kind,1
life great right,1
everything fall apart,-1
great,1
want,1
everything end,0
die dont make,-1
ill give everything,1
let go,1
people need help,0
always ask,0
im still young,0
look like youve lost weight,1
hope get better,1
give,-1
upset,-1
im gonna hurt,-1
theyre annoying,-1
loved,1
never win,-1
always side,1
youre amazing,1
kind,1
nothing better,1
suck hope die,-1
mom hero,1
let make,1
im angry,-1
going amazing,1
let start war,-1
let make peace,1
beer,0
got fired,-1
love pizza,1
hate vegetable,-1
vegetable taste bad,-1
test today,0
deserve everything coming,-1
best friend,1
thank love,1
grateful,1
whats guy gotta,0
win,0
love friend,1
hope dangerous thing,-1
scared,-1
im terrified,-1
need help,0
try,1
gotta faith,1
never trust,-1
always trust,1
everything go hill,-1
nice everyone,1
people need go home,-1
need get tested,0
there nothing scared,1
feel bad,-1
everything getting worse,-1
make sense,0
understand youre saying,1
there helping,-1
please come party,0
dont want come,-1
goddamn glorious day radiant symphony sunshine gentle breeze perfect leisurely amble verdant park,1
wholeheartedly utterly adore spending time cherished friend laughter camaraderie balm weary soul,1
unequivocally breathtakingly amazing concert ever distinct pleasure witnessing experience shall treasure forevermore,1
find overwhelmed profound gratitude boundless opportunity graced path cascade blessing eternally thankful,1
inherent kindness displayed complete utter stranger never fails ignite flame warmth affection deep within,1
tonight celestial sunset absolute masterpiece vibrant tableau painted across heaven hue unimaginable beauty truly aweinspiring,1
heart overflow sheer utter excitement forthcoming future boundless panorama untold possibility magnificent adventure,1
novel restaurant boast fare exquisitely delicious impeccably crafted transcends realm mere sustenance ascends status culinary artistry,1
profound sense pride swell within breast reflect upon recent accomplishment culmination tireless dedication unwavering perseverance,1
despite presence shadow tribulation world remains place immeasurable beauty teeming wonder inspire awe reverence,1
offer sincerest appreciation dearest friend unwavering support boundless capacity understanding compassion,1
mere smile capable illuminating entire day radiating warmth affection like gentle ray morning sun beacon pure joy,1
act kindness matter infinitesimal scale possess potential traverse vast distance impact countless life leaving enduring legacy goodwill,1
find immersed ocean pure unadulterated bliss feeling divinely blessed benevolent hand fate truly sublime experience,1
enchanting melody incandescent beacon pure sonic brilliance intricate harmony captivating rhythm transporting realm unparalleled ecstasy,1
heart overflow uncontainable surge love existence tapestry experience emotion would trade rich world,1
eternally grateful cherished family sanctuary unwavering support unconditional love nourishes soul provides storm life,1
literary masterpiece astonishing triumph storytelling eloquent prose compelling narrative weaving spellbinding tapestry imagination emotion,1
heartfelt congratulation every one unequivocally resoundingly nailed exceeding expectation collective brilliance unwavering dedication,1
surround radiant energy positivity banishing negativity farthest reach cosmos creating vibrant harmonious sanctuary hope optimism,1
worthless piece shit make fucking sick stomach,-1
hope choke vomit fucking maggot,-1
youre fucking disgrace goddamn world ashamed,-1
stupid bitch hope fucking rot hell,-1
get fuck country worthless piece shit foreigner,-1
hate fucking nigger theyre goddamn lazy entitled,-1
cunt doesnt deserve fucking breathe shes waste space,-1
kill goddamn jew theyre root evil,-1
fucking queer go back closet die,-1
hope die slow painful death fucking piece garbage,-1
woman good popping baby sucking dick dumb cunt,-1
stupid person cant believe youre fucking dense,-1
fucking immigrant ruining country theyre criminal rapist,-1
im sick woke cunt trying force bullshit everyone,-1
someone ought shoot fucking queer theyre abomination,-1
fuck world everyone goddamn lie,-1
youre useless piece shit cant anything right,-1
go get fucking strap time teach nigger lesson,-1
nothing fucking animal dont deserve live,-1
hate lazy nigger always begging handout playing victim,-1
fuck whole goddamn family youre worthless,-1
youre disgusting human cant even look,-1
many people guy going abuse assault cant even say shit without getting jumped stupid fucking troll,-1
one care opinion fucking loser go die hole,-1
favor kill youre burden society,-1
need die alone suffering thats deserves,-1
time another holocaust burn jew poisoning blood,-1
ugly look like fucking gargoyle freak,-1
woman cant drive fucking fact theyre emotional stupid,-1
men better woman every way biology dumb cunt,-1
youre fucking disgrace race youre giving u bad name,-1
hope get cancer disgusting pig rot hell,-1
dumb make want kill worthless piece shit,-1
day today im sure,0
time need go home rest,0
alright,1
care think,0
upset,-1
maybe need get,0
sky painted hue ethereal beauty canvas cerulean gold fill heart sense profound peace tranquility,1
lilting melody birdsong fill air symphony nature artistry delight ear awakens sense childlike wonder within soul,1
enveloped cocoon profound gratitude simple yet exquisite joy life bestows upon warmth sun laughter loved one gentle caress breeze,1
heart swell overwhelming sense joy witness boundless potential lie within every human beacon hope illuminating path towards brighter future,1
may strive cultivate spirit compassion understanding extending hand fellowship need embracing shared humanity open heart mind,1
youre goddamn walking std mother whore swallowed,-1
get fuck sight youre fucking ugly make want vomit place,-1
dumb motherfucker youre stupid couldnt pour piss boot even instruction tattooed goddamn forehead,-1
dollar every time said something intelligent id zero dollar goddamn moron,-1
