label,text
1,kidnapped yo bitch
0,alsarabsss he beaner smh tell he mexican
1,happy birthday nigs thanks yo
1,ur teacher tell u u homework bitch need go
1,nigga eating hoe lol hell yea lol john paul nigga said john paul
1,would yall lil ugly bald headed bitch stop making makeup weave
1,leaf better win damn game go riot shit earlychristmas better start looting nig
1,going back school suck dick hoe attend
1,way fuck yo bitch year old
1,come never bring food dont car retard
1,richnow doesnt show hella tinder hoe im friend anymore chill brought like like prople
1,bout cowboy shutup pussy
1,lmaooooooooooo nigga bitch want like depressing shitfoh
1,girl know spitting g shit going lbvsbitch plz
1,let make couple tweet cuzzo page wont get twitter jaillmao bitch dont trick
1,harlem shake excuse go full retard second
1,amen miley dont need act like hoe bc shes emotionally damaged foh
1,one loyal female wayyyyy better hoe idc
1,pussy licking pussy meow meow stopwhitepeople
1,check th man cowboysnation even faggot ny fan stand
1,happen vixen ent bitch got ran threw side like foothill bitch
1,im bitch okay nude pat wow
0,youre fucking gay blacklisted hoe holding tehgodclan anyway
1,fuck wrong bitch nobody know
1,yall shut upp make bitch
1,hate im pregnant type bitch
1,got bitch dm dont ever readem top
2,baseball season win yankee love started
1,little stupid bitch dont fuck yoooooouuuu
1,really asked dead as serious tho could say bitch wheet lol
2,im early bird im night owl im wise worm
2,overdosing heavy drug doesnt sound bad tonight pussy shit every day
2,pit bull photographed lovely fairy tale creature fairy tale creature
1,aw fag dont tweet aw lol
2,long lakers trash could careless thats real cc hahaha
1,didnt say anything tho kiss faggot
2,play soccer cheat girl wear khaki coloured cargo haircut yup
1,could go fat as bitch lap
1,missed call da yo po bitch twitter finna screamn freemoneymelle
1,ya side bitch gotta know rule shitanybody ask cousin jersey thinkin bout moving lmmfao
1,amo los pie fuck yeah
1,hoe thinking meat wont slap as ainna bruh
1,yall bitch wit edge talking
1,yall still going trick treating year nahhell yeah ima da sweet tooth bandit steal bitch bag n shit
1,wanna sex mom fuck right pussy came damn got hacked like fuck
1,kiss u eye open watch bitchlmfao
1,woulda coulda shoulda as hoe
1,happy bday bitch as nigga preciate bitch roll
1,used send bitch
1,ugly bitch like im wcw duh bitch aint nobody elses
1,nigga know hacky sack hoe nah throw look pass lmao
1,glad im getting outta atlanta nothing bunch nigga outta jail dumb bitch mad kid fuckin em
2,isnt ghettoits smart im idc
1,would wife hoe cuz wouldnt care cheating force relationship first place
1,single isnt excuse hoe
1,white boy power bitch black power bitch
1,let get drunk get blowed spit shit spark blunts fuck hoe bro white dude chill
1,bitch u around world back
1,dont get dick sucked yo party bad bitch im fr gone set
1,oomf soooo cute probably hoe lot
1,every cartoon alway saving hoe lmao lmao damn captain saveahoe
2,want get nose bad bois scally chav sockfetish stinking hot sox leg
1,wish bitch like brother keezy ooooow bet
1,dressed cat halloween basic pussy
1,pornhub get gaming stream feature dumb bitch gtfo get katie
1,stop scared choke sex u bitch as nigga shell like say guy hit woman bed foh
1,ha well iguess make hoe loyal bro theyll never loyal hoe nig
1,oh man molly ho fuck ya seed fixed
1,youre man refer every girl bitch
1,lmfao cat started beating shit nigga finally got pussy nigga
2,peel peel bring back rewind back im move shaq line ooooow tf said trash
1,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
1,naw old tape new cover upcoming mixtape kingofthehill yeah im waiting hoe mayne
1,ol dirty foot as bitch funny
1,thats get yellow flag amazing hell yeah niggy
1,dont got time bitch actin iffy
2,ucfpinkparty come stay alive knight nation still early bird special comeatmeut
1,hoe aint loyal aint smfh wonder nobody decent want
1,bruh stud keep thinking im soft hell ask ya girl many time screamed bitch oh okay stfu bye hoe
1,dry pussy bitch always blame condom
1,shut yo bitch as
1,gucci mane jail dropping mixtapes every month hoe cant even text back
1,love hoe money wats wrong nigga
1,loyal bitch burbs without daddy issue like finding holographic mewtwo sounding like lol
1,easy cum easy hoe thats fact
1,charlie sheen real major fucking respect charlie sheen
1,wish bae got hoe tho
1,fuck twerking bitch cook
1,bitch wtf
1,shut zoe fight pussy zoe im good man good maam move along
1,lmao fucking snake bitch em
1,big booty hoe everywhere sheesh damn
2,stay tuned update report b week bum
2,play soccer cheat girl wear khaki coloured cargo haircut yes lmfao
1,oregon choke every year get field trash as program rft
1,def cowboy lol rt terrell owen best eagle cowboy ever dude cried like bitch tv romo
0,lmfaoooo hate black people there black people nigger
1,could u bitch potent
2,pissed lad past would lick dirty sol slept
2,love frat boy w soft long sol
2,sexy lad hot sol arch
1,nah fam gotta cheat hoe depends female feel
2,got hick lol
1,new twitter confusing shit go back south america bitch
1,toto mean as vaginai think pussy cause toto santi like nasty pussy
1,actually choose ugly bitch as must fat
1,bitch couldnt kill vibe ya tried dis love miley
1,im tired bitch saying look mean nigga big af wear tight shirt grim everybody
2,bird grandkids may never see thanks climate change climate
1,stay beautiful bitch
1,wutkinda r purple ceeeleeeman gurl jus playin stupid hoe track still shitted sum gurls
1,money getting taller bitch getting blurry
1,aint never seen bitch obsessed nigga im obsessed mine
1,kobe stay talking trash let forget meant one smh
0,least im nigger lmfao
1,people always asking im mixed bad asian bitch lol
0,ariza snake coward least isnt cripple like hero roach lmaoo
2,foster home imaginary trash whoa chill show everything tf
1,lowkey tired tired quiet go sleep hoe
1,stop bringing weird nigger mention
1,dont love hoe
1,yo girl cant homeboy ol weak bitch as nigga
1,think worst advice gave dont pussy speed lol
1,quote tweet favorite animalpussy
1,hate stripper tell theyre dancer hoe ballet dancer dont pop pussy beethoven stripper
1,andrewbryant poff double vision beer poff double pussy smh
1,bitch twerk computer ya ya damn
1,prince art nobody takin bitch
2,welfaregovernment aid claimed white people yall black slander trash
1,bitch dont care play role
1,took find hiding lime tree dis bitch da wrong tree bro
0,drake new shoe released nikejordan yes there glitter shoe dude fag
2,inna di ghetto alone lmaoo
2,hoe austin teach u austini teach u get curved thats know
1,bitch cant cook know suck dick one
1,fat hoe get chose lol
1,hoesaintloyal well theyre hoesno one expects loyal
1,ol bitch as
1,bruh im tired nigga retweetin miley cyrus naked bitch aint type bad lmaooo
1,tony romo mavs game dont mean still bitch lmao fuk cowgirl lol bitch fuck
1,holy shit freddie highmore charlie chocolate factory roll floor laughing
1,dont want sex gf feel like im using anonymous whata faggot
1,one follower somebody bitch dont
1,ya bitch always bitching clearly care annoying bitch
1,catfish hoe thinkin slick nigga catching
1,cant worry bitch aint worried bout real
1,side hoe insecure nigga cant handle real one
1,lmao bitch come scooting tent like fuck shit
1,cousin said share hoe brother said sharing caring love brother
1,im hungry ionn wanna spend money foodbroke hoe problem
1,dese hoe lyin u nigga
1,oh yeah fuck bitch
2,eli manning threw nflleading th interception season lmao trash
2,usc senior rb anthony brown call head coach steve sarkisian racist quits team he bitch
1,guess also zero time mansplaining adios stfu pussy
2,chilling sexy scally lad
1,aint sharing bitch mine mine
1,money impress simple broke bitch
1,pisces never anybodys bitch dont let people control change rigghhht
2,tuku ho idk blah blah blah
2,im mad cuh hahaha suure tuku ho ita
1,hoe crazy
1,aint ever gonna slice bitch kevin hart
1,oomf fuckin fine tho dam dont bitch
1,wonder girl gave head boy drink magaluf twitter probly sends nude fag
1,newsatquestions yeah bitch yeah bitch call maybe b steveo c later jesse pinkman
1,hickies thigh right pussy right
1,would still love im longer young beautiful ugly monkey as
1,yall come frontbitch aint coming
1,faggot bitch
1,yea im ipad dont work friday let ball faggot work
2,scally lad would get
0,gerryshalloweenparty halloween yesterday stupid nigger
1,chrus still supahot tho walk teacher test drop test bitch fohead
1,love eating pussy lol never get full lol eat shit forever lol ever
1,slush hoe nasty anyway famthem hoe taste like med
1,slush hoe nasty anyway fam
1,bobby bitchby getting live fuck hell yea play hoe workout
1,yo bitch gucci mane rt bitch stoner
1,ride bitch handle bar
1,aint hoe get traphoussseeeee
2,sad tv character death still bitter stark man
1,harbor bitch party bus hoe lol
1,pussy love
1,ultraviolence video coming little bitch mtvhottest lana del rey bitchy promo
1,way fuck bitch lmfao kittycopter
2,smuggler explains helped fighter along jihadi highway
1,aww avis look cute together gotta get ike avi bitch
1,simple dont hoedont worry exposed fight mewhy
1,why bitch boosting size isnt exactly healthy tho
1,bet bitch kim bye
1,damn near gotta protect tweet stalker annoying got dope dick drive bitch loco
1,im making marack girlfriend aye b pullin hoe like taught
1,bruno fag boy love
1,must bitch sike naw always beefing
2,yankee look rally bottom th rallycap
1,dont take advantage nice person hoe everyjuan
1,happy birthday bitch nigga thanks pal
1,sad knowing hoe wont fuck bc aint got stack wait till friday
1,cinco shit harder fucc niggayee fucc wit rich homie cuz dat ya homeboy fucc nicca
1,ewww said last sundayas last sunday read nigs
1,punch real nigga face cause pussy nigga gonna punch right back strong mush shake
1,pussy still fresh something stank girl say
1,as slapping one greatest thing haha slapped girl as got mad aint get pussy week
1,yeah texan much better fucking retard see youre mad
1,nd wtf dark bitch blonde please several seat hoe looking like blackmilds
1,there lane bitch need stay left n get right fuck outta face
1,hate boy deny bitch smh
1,ya nigs still saying yall dont eat butt straight face
1,im bos as bitch need sit corner
1,he hoe cant
1,paul thinkin bout gettin rental da weekend oooh shit bitch betta stay da street
1,bitch hold nigga get locked nigga go college military different story
1,friend hate ratchet hoe
1,love fuck nigga hoe
1,hot meat sexy fuck scally lad would love meet trainer
1,sniff perved scally lad fuck yeah
1,bitch love sosa
1,legit watched second wtf prob cause retarded smh
1,name cat idea mr pussy
1,woof woof sexy thug boy scally
1,u see damn phone ringing married bitch make demand havent called
1,tevin favorite sophomore think he funny he really lmaoo he little hoe
1,sex position u call fucking soul outta bitch
0,bored supposed cute faggot sometimes
2,one man trash another man treasure
1,dont got type bad bitch thing like iongotnotype
0,lassen cc coach want feel youll get nig doubt
1,god teeth gold chain white bitch cocaine
1,hoe hoe shhhhh
1,dc call roller chiraq call thots across america known hoe
1,im gonna miss bitch bus driverno wont dont lie
1,hate bitch try put friendzone bitch im tryin score put endzone soul
2,ashley young tried deny bird landed mouth hahaha
1,yall gimped aint tht bitch huh lol
2,take ride woof woof
1,oh god love victoria mitchell bitch love
1,long distance shit wack knew bitch cheating uh oh
1,he right bitch smh
1,ban dat pussy life gotta pay millon dollar fine
1,rose red violet blue nigger black know thats true
2,sitting window sill window open bird try fly smacked protecttheanimals
1,nigga gon nigga nigga sound fuckin retarded
2,video entire medium likely mock crybaby
1,im even shy stfu kikis mom hi angelique angelique smile dip cracker soup
1,tim tebow got cut every team nfl already got hoe starkville smh
1,karma bitch damn godprotectshisangels sip tea
1,fuckin hot gym pussy fuck yeah
2,jihadi patron hajjaj alajmi arrested kuwait airport
1,call fireman cause turn hoe
1,could never bby lil dick thts got abortion last bitch oh god
1,watch woman try argue like dick actually fucked pussy hate bitch
1,smoke weed public fuck cop man wanna dont run come retarded
2,tweety bird tho
1,pussy sweet like watermelon thotermelon
2,twitter rapper dm trash link
1,loud bitch annoy
1,eventually every bitch turn hoe truuu
1,swear oomf try talking tomorrow pussy
1,bitch pretending tf crazy aint never lied
1,k bye hoe um bye
0,jackies retard blondeproblems least make grilled cheese
1,ima keep giving pussy as nigga ah reason hate
2,photo sole heaven
0,stacey dash baddest bitch evaaaa
1,side bitch sunday
1,fact baldheaded bitch made shit lmao
1,fuck wit u tweakin hoe shmurda
2,actin like th day spook
1,ill break lil bitch neck wont even feel sorry savage
1,fucking hot scally sneakersex sockfetish sniff trainersex love kinky scallies
1,yall dumb as nigga pressed hoe yall weak fuck fuck weed hoe oreo
1,turn yo bitch eaterrrrrrrrr
1,dont trust dese hoe nikki told st stay fan screen shot asap finna come chiraq shoot sumn
1,aye yall ima tryout bowling team frfr tryout passed tho there two retard
1,u got u want bitch enjoy crazy party would love attend
2,colored contact eye blinder mine cause cant see lmao
1,fact dude hoe say dont got hoe
1,im rea start smacking bitch period bluffin best
1,life bitch die thats get high cause neva know youre gonna go sister perfect
1,one u drug youre still wrong hahahahahahah im bitch sometimes
1,im feeling pretty fuckin ghetto smh
2,swears im man easily easily behind austin nip
1,true ride die bitch fuck hahahahah
2,hgwells charlie chaplin history photography
1,see bruno bitch as twitter wtf bruno see drake voice
1,im cool faggot chill tf cool nigga
1,im sure bitch frfr tf
1,twitter source news broadcast fucking retard nbc abc cnn fox etc keeping quiet
1,got couple bitch saying know ima let money talk im like wwyd
1,grudge weirdosand bitch
2,told mariam cigarette birthday also called trash rn
2,brownie tonight kind
1,text back dont give fuck ill text another bitch damn someone hurt lol
1,ummmmmm okay got hoe left right yah thang
1,using ymxb find slope as
2,fit lad nice gear scally lad n trainer would get
1,hell yeah bro fuck yeah sexy scally lad hot gear
1,helping mate love scally play fuck yeah
1,lad lad fuck yeah love scally lad action hot trainer
1,next year bitch gonna like gotta promise wont expose
1,hot rt lick bitch fuck yeah eat trainer u dirty fucker
1,yall think celebrity pussy different local yeah meghan good
2,saw ajumma walk beginning saying wow trash cant even listen lmaoo
1,need sox fuck yeah love kinky scally lad w rank sox sneak
1,dont ever expose female like thats childish bitch nigga shiiii
1,yasss try new thing bestfriend bitch love
2,dude remember wop video omg find
1,thick raw fuck damn man pussy getting workout
2,rawr rt sexy french scally love frenchscally sexy scally woof woof
1,nothin life free bitch need write ya panty
1,one bitch want burrito u catch potosino huh haha
1,nigga whole hoe cuz couldnt said better
1,hardcore way eat mac cheese boil water snort cheese powder drink boiling water fuck bitch
1,yourenotmytype fade perpetually fresher thats real as bitch rite
1,annoying bitch love judyanns pretty
1,lmao bitch got huggies
1,hi bitch bitch bye bitch
1,look like bitch
1,chase money hoe
1,cant stand dont know want as nigga bitch
1,im way love chavhot sexy scally fucker
1,newly gay bitch dont kno shit work
1,bitch dont want real job become stripper lol lol
1,awww meat meat feelinsi ainn n feeling bitch
1,want snake bite industrial piercin tattoodem hoe accessory dea
2,baby albino
1,hoe aint loyal
1,yassssss ordered chinese bitch ate taco fat fuck
1,made bitch lunch bitch love lunch
1,brainer soon bitch get rich political power view change political whore
1,pussy day keep devil away
1,aint bitch mean
1,bitch want baby dont want child
1,bitch must lost
1,baby like left side bitch cant cuz street side twitter said aint real
2,bae sound like ghetto word use something else
1,batter wee cunt jewis co fucked ex emma isnt battering girl ive nailedive moved onstop pussy n urself
1,bleed hoe alexa
1,boolin bando wit bitch
2,brownie brownie love movie
1,need bad bitch thats hotter might realist shit partynextdoor ever said thats feelin everyday
1,way punch bitch
1,caesar home rt much bitch look like let start ape shit
2,chinese maverick communicating comrade u know giving imperialist yank birdie
1,dad say hi snapchat dad duce bitch
1,believe hoe fact loyal disagree believe fact loyalest bunchthese hoe
1,dont know ugly bitch dont know broke nigga
1,dont make make fall live nigga like meee bird favorite song weeknd
0,dont worry nigga see worry nigga dont see dat da nigga fuckin yo bitch
1,dont ever give pussy away keep tight alright
1,dropped stack cause bitch im song called dope download mixtape
1,dumb bitch dumb thing
1,eat pussy like real nigga hungry
1,eff let go cripple
1,everything look better bitch next
1,facto care hoe as look like
1,every bad bitch nigga tired fucking
1,foreign chick lie man bitch beautiful
1,fresh nigga kno need clean bitch kno im working cuz wanna see team rich
1,fuck make rule suck dragon ball bitch call goku
2,generate ascii box nodejs see ability bring flappybird node via ascii tube bird
1,get shit bitch fine bear
1,get as back detroit ya fuckin wigger
1,girl dated okay aint mad yo unless stabbed heart love hoe
1,know twitter password bitch please
1,seen show seen hoe wasnt hot would thick
1,bitch hitting hoe
1,married white woman lucky sumbitch uncle ruckus
1,wanna nigga im trinna saving account omg imma funny as bitch man thats real shit
1,great grandma hoeher grandma hoeher mom hoe shes hoe long line hoe grandpa carl everyone
0,hey go look video man found kidnapped girl ohiowhat nigger shitmybosssays
1,hey pussy still
2,draft gungho folk send afghanistan war zone show
1,hotter bitch
1,u talking hoe bout bro n em talking hoe bout bro n em
1,crazy bitch hilarious
1,know shoe dirty fuck whatever bitch dont call like negro one first thing look shoe dog
2,thrill billywith hillbilly heart hahahahaha jesus murphy
1,call bitch
1,cant handle liquor bitch cant handle meeedd chief sosa
1,dont chase dude chase bitch edgar bautista
1,dont love hoe baby forever
1,dont even need picture tamar bitch beat every picture
1,dont hoe
2,found new way chug open mouth alot shitallysays
1,fucking hate bitch much wanna smack face tongue kiss
1,got bitch set like jada picketqueen latifah riding round niece bitch titi
1,got sister told stop calling woman bitch
1,guess night bitch die stewie nigga
1,bitch bitch bitch eating halibut freshrhymes jerksquad slowstir
1,ladylove shes married still wanna bang wont sex bitch troubadour probably
1,heard looking candy man bitch
1,hope dont get mad lady call bitch bitch bc dont know name individually katt williams
1,got number im bitch boy
1,know shit eatin grin either fucked girl dream sold car know youre faggot whatd sell
1,older men cause theyre mature supposed fool u bitch
1,prolly leave bitch cup hand yo hand hand
1,said dont like taste like wolf pussy even know taste like
1,taught eat pussy cut hair taught eat pussy hair name movie
1,used dress like cop oh really yeahright mad pussy really yesill never forget
1,went jail flock came home wit strike went jail bitch came home dike
1,fuck u u stand u dizzy bitch two unique separate phrase overheard relative saying younger
1,woke like thi bitch go back bed
1,would rather call bitch sir manager
1,ill beat pussy hard
2,ill slit throatneck
1,im funky as honkey shout tonight cabaret jttour
1,im comparing kfc pussy
1,im downloading new personality ordering new face bitch love goddamn axl rose yelling sex robot
1,im feelin like malcolm middle bitch surround cant miss em
1,im gonna piss dimple stop wasting prayer trash team lol
1,im probably main bitch chocolate dipped cinnamon apple
1,im sick shit man sit bitch as im fed bro rt geno threw yet another pick smh
1,im sorry fucked yo bitch really dig nigga
1,ibs irritable bitch syndrome
1,love hide yo bitch youll keep shorty
1,talk back aint getting pussy
1,youre bad bitch put hand high every girl room start waving hand around
1,imma tie bitch basement donkeyfuck as two week straight hahahahahahahahaha centmovie beforeiselfdestruct
1,mind gotta dumb hoe anthem
2,albino mexican dad he asian
1,take true directioner accept larry know bitch fan like make boy cry thankyoupaulforconfirminglarry
1,allegation u bedroom u see word naive blind bitch know ur husband cheated u ramona dumb
1,never late tag bitch
1,dyke hunter dyke dyke
1,julia robert youre ho nottinghill
2,follow yellow brick twitter
1,lmfaoooooooooooooooooo pussy good mama dont like guess gotta gomy mama
2,lol cripple wendy davis rt scientist create remotecontrolled chick study shy penguin
1,let nip ahoy spank maybe
0,let kill cracker baby wtf hear wow
1,like correct im wrong doesnt pimpin involve smackin bitch money
1,lmao rt pound cake look like pussy
1,lmao drose adidas lighter phone shit retarded
2,mam rene doet haar rol net ze ongesteld wat ongesteld van dat soort vragen waar je denkt hoe leg ik die weer uit
1,maybe want friend maybe shes stupid bitch never know make cum
2,mine play dmx kirk franklin smh well neighbor ghetto get like beat kid
0,grandma used call porch monkey time come think refer broken bottle nigger knife
1,momma told tell mind yoooo damn motha fuckin business knowin bitch
1,nip freeeeezingand thats okay theyre slicing bra
1,twitter hacked im pussy admit said want act like never said
1,nah girl aint gon able make tight since rus loss job back like damn bitch really
0,nah yo thought photoshopped face faggot smmfhi hate yall
1,new flame song yr lol bitch super run like
1,nigga always yelling fuck bitch get money meanwhile theyre broke still want bitch
1,nigga pressed pussy eeeeeen nothin
1,bitch nan
1,boat hoe please thanks mom
2,ovo kendrick lamar still trash
1,top pregnant as sorry hoe aint never got money even water broke riptallt
2,couple red sox gotten past first base im dying laughing maybe yank need teach game
0,people time aryan race stand say mongerls turn world ghetto slum
1,pistol whip dickau shoot yo bitch club sometimes freestyle freestyle im okay
1,please thanks pierced pussy come across timeline
1,remy machiavelli send shot ya belly bitch
1,roberto one nasty hoe
1,sorry jb fanreally justin come back top comment justin timberlake video million view son fucking bitch
1,searching incredible story white man quest find ingredient necessary make caribbean jerked chicken redneck land
1,selling soul material wish fast car bitch tupac smile remix
1,shake bear aka two redneck sex dead bear
1,shall compare thee summer day summer day bitch
1,gotta shape pussy lip tho whole wheat organic pussy
1,said wigga man richtake durag
1,bitch anyway
1,shes florida youve got sniff test swamp pussy
1,slow fuck bitch know live classy young lady
1,he good football playerbut still act like nig
1,stop pussy son shove needle heart afterearth
1,stop looking u go eat pussy yuppie fuck
1,takin straight dirt finger pussy know put dick
1,aint bro move thats hoe move
1,girl plain looking borderline ugly chunky hey least shes got nice smile great personality
2,devil grows inside heart selfish wicked white brown yellow black color restricted
2,water isnt yellow im healthy student
1,hoe aint loyal
1,hoe keep callin aint pickin
0,sour apple bitter bitch im fuckin wit em
1,faggot oriole petty fuckgot swept outta bitch
1,ghetto as band get snuck
2,division trash saint gon win nfc southwatch
1,fan waited bitch nigga hated old hoe dated look mama
1,ghetto motherfucker missy elliott
2,recipe call leftover brownie hell leftover brownie thats brownie havent eaten yet
1,ratchet broad dont represent white as cant talk trash cause racist shit black
1,trust noneeee bitch dont
1,twitter twitter bitch twitter life
2,two road diverged yellow wood chose one jtunheimr robert frost giant
1,u got k bitch niggaal haymon antonio tarver
1,uhuh empty heart empty bottle yellow cab would like catch cuz yo latest ex made u mad
1,used girlfriend got hoe lookin good girl fuckin low
1,virgin pussy regular pussy oomf pussy
1,whaaaaaat lmaooo thats luv u fat bitch cuz yall got big ole titty phat booty
1,walked bitch like nigga made
0,hate nigger hate faggot hate spicskkk rally
0,queer hut like butt
1,well bitch biology said
1,gotta report spam rt lady rt head game better pussy
1,im done hoe pas squad g
0,fuck callin jiggaboo nigga
0,people think gay marriage okay beyond sorry dont want future son seeing fag walking street holding hand
1,u little bitch chris aint six bitch allisons mom
1,would want play pussy dead snl
1,would wanna green ranger he evil duh bitch
1,would want pussy side burn thats good question hahahahaha
1,shank bitch ceviche
1,work get rough day hahaha hoe
1,wow bitch yes thats already established anything else say
1,yall forget brand new baby girl home bitch cooky burning
2,yah said word mtzraymegyptians people ysrahal inheritance kushiteethiopians
2,yaoooooooo mawnin yardie
1,yo bitch horn tryna shoot porn thats shirt worthy tony
1,yo sublet pussy shitfahdsays
1,yo foot smell like pus whut like flower bitch omg
1,yo mama bitch rt one sentence ended relationship
0,aint gunna shit spear chucker
1,aint bitch favorite response long text
1,yo boy pussy cat
1,cunt
1,pull pussy dodge collect panty alright stormy jake
1,take someone ghetto cant take ghetto
1,dont like u colored folk hell youre colored white fuck
1,got hella hoe
2,hit light line toco bell morning diana back house miracle charlie
1,look cute today really helll swerve hoe
2,look like little bird help get dressed morning
0,ol trout mouth as bitch deeeeaaaadd
1,talk like fag shit retarded thats cool scro lot tards living total kickass life
1,took land could make retarded diaper sureuse imagecool redskin nfl concussion joke
1,youre garden rose bitch weed
1,youre fucked shit dumb as cunt go post picture flat as titty ig slut
1,queer
1,homeboy looking bad giving cash hoe
2,teeth like star aww thanks yeah yellow far away
1,yup fuck em playing like trash rt clipper dont wanna play lol
1,aint time hoe get lol ariana mom say u
1,bitch
0,ayo even kill handicapped crippled bitcheslook scalp real close youll see triple six
1,bitch freak shit
1,bitch vagina little resilient
1,love nah bitch aint love
1,pussy root drama attribute put head mama
1,call keyshawn johnson cause im catchin erry hoe
1,captain save hoe annoying phrase
1,day judgement everybody gonna looking big jumbotron watching fuck majjinn buu bitch
1,dont let side bitch settle might headbutt evelyn
1,dont show bitch unless look like dolly parton
0,fuck pussy as hater go suck dick die quick someone youtube comment think wed good friend
2,hick raver venn diagram large intersection
1,hoe suck dick cu look like john stockton hit em wit choppa luke fatherrr
1,wasnt work place id deck aye fucking right id give tyson combo nd end uppercut shut fuck bitch
1,suck dick dip shes keeper true redneck woman kims dad
1,im gonna rip bitch apart rip apart lol
1,britney bitch bible leviticus
1,nigga bitch bitch as nigga dike as hoe black as bright as hoe fag tag scally wag
1,pussy tryna go studio dont call mufuckin crib like god yo word god bus yo shit god word
1,oh ya hoe think cute skin tight cat suit assuming body boomin dispute
1,omg bitch fucking stupid swear blah blah blah week later omg ilysm bae ur best friend swear
0,way fuck bitch name lord mr race
0,poor whitey
1,riding bros still dont trust hoe
1,weekend going fabulous naa man youre seeing nae cunt theyll koed second flat hate u fuckgm
1,whatever good one abraham lincoln quote yall hoe
1,guy say latinas mean kim kardashian looking girl bitch shaped like mini fridge smell like tortilla
2,rapper say twat make feel weird
1,better pipe pussy lmao wth even mean
1,fucking pussy couldnt even beat dick angry youtube comment
1,youre cunt right
1,son bitch moment rain forget car window
1,thingsthatgetsonmynerves needy hoe ratchet hoe sideline hoe beggin hoe dumb hoe looking love facebook hoe
1,get hit bitch campus want
1,personidbitchslap fa blowin tl like bitch spare tire leavin dairy queen
2,faves rt snoop justin much fun charlie wilson tribute betawards
1,taughtme pussy feel
1,wordsaftersex pussy bitch
0,azmonsoon lot rain bad wasnt enough wash away teabagger racist white trash state tcot teaparty azflooding
1,alexfromtarget get million retweets chrisfromwalmart cant even get bitch text back
1,alexfromtarget bitch wetlmmfao
1,anncoulter still calling obama community organizer syria well still cunt well
1,asagiraffes pussy
2,askdems arent embarrassed charlie rangel remains caucus
1,bob bass bitch bitch dick fish dock
2,breaking ap call mass governor race charlie baker watch live coverage wcvb streaming online
